source_query,source_pmid,retained_record_id,rule
PM-CORE-20260921-R1,1397371,R-1397371,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1398445,R-1398445,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1398902,R-1398902,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1398903,R-1398903,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1399654,R-1399654,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1399655,R-1399655,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1400559,R-1400559,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1401681,R-1401681,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1401688,R-1401688,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1402732,R-1402732,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1404712,R-1404712,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,1404741,R-1404741,Exact PMID match only; DOI/title/report-family deduplication pending
