record_id,pmid,in_core,in_supplement,metadata_exported,screening_status
R-800982,800982,True,False,True,Not human-screened
R-800983,800983,True,False,True,Not human-screened
R-803229,803229,True,False,True,Not human-screened
R-803289,803289,True,False,True,Not human-screened
R-803291,803291,True,False,True,Not human-screened
R-803292,803292,True,False,True,Not human-screened
R-803640,803640,True,False,True,Not human-screened
R-805443,805443,False,True,True,Not human-screened
R-806893,806893,True,False,True,Not human-screened
R-807051,807051,True,False,True,Not human-screened
R-807506,807506,True,False,True,Not human-screened
R-809628,809628,True,False,True,Not human-screened
R-809786,809786,True,False,True,Not human-screened
R-809795,809795,False,True,True,Not human-screened
R-811745,811745,True,False,True,Not human-screened
R-813145,813145,True,False,True,Not human-screened
R-815154,815154,True,False,True,Not human-screened
R-815155,815155,True,False,True,Not human-screened
R-815551,815551,True,False,True,Not human-screened
R-816845,816845,True,False,True,Not human-screened
R-818474,818474,True,False,True,Not human-screened
R-821080,821080,True,False,True,Not human-screened
R-825922,825922,True,False,True,Not human-screened
R-828153,828153,True,False,True,Not human-screened
R-828636,828636,True,False,True,Not human-screened
R-828638,828638,True,False,True,Not human-screened
R-828773,828773,True,False,True,Not human-screened
R-828775,828775,True,False,True,Not human-screened
R-828778,828778,True,False,True,Not human-screened
R-829316,829316,True,False,True,Not human-screened
R-829326,829326,True,False,True,Not human-screened
R-829419,829419,True,False,True,Not human-screened
R-829422,829422,True,False,True,Not human-screened
R-829555,829555,True,False,True,Not human-screened
R-836443,836443,False,True,True,Not human-screened
R-857098,857098,True,False,True,Not human-screened
R-869736,869736,False,True,True,Not human-screened
R-875248,875248,False,True,True,Not human-screened
R-885001,885001,False,True,True,Not human-screened
R-888047,888047,False,True,True,Not human-screened
R-890378,890378,False,True,True,Not human-screened
R-905943,905943,False,True,True,Not human-screened
R-911378,911378,False,True,True,Not human-screened
R-943150,943150,True,False,True,Not human-screened
R-982108,982108,False,True,True,Not human-screened
R-1004035,1004035,False,True,True,Not human-screened
R-1004038,1004038,True,False,True,Not human-screened
R-1017461,1017461,False,True,True,Not human-screened
R-1037430,1037430,False,True,True,Not human-screened
R-1088948,1088948,True,False,True,Not human-screened
R-1089365,1089365,True,False,True,Not human-screened
R-1089594,1089594,True,False,True,Not human-screened
R-1089619,1089619,True,False,True,Not human-screened
R-1089879,1089879,True,False,True,Not human-screened
R-1091715,1091715,True,False,True,Not human-screened
R-1092604,1092604,True,False,True,Not human-screened
R-1095466,1095466,True,False,True,Not human-screened
R-1095840,1095840,True,False,True,Not human-screened
R-1098298,1098298,True,False,True,Not human-screened
R-1098994,1098994,True,False,True,Not human-screened
R-1099837,1099837,True,False,True,Not human-screened
R-1099905,1099905,True,False,True,Not human-screened
R-1101550,1101550,True,False,True,Not human-screened
R-1102692,1102692,True,False,True,Not human-screened
R-1104464,1104464,True,False,True,Not human-screened
R-1104736,1104736,True,False,True,Not human-screened
R-1106027,1106027,True,False,True,Not human-screened
R-1106173,1106173,True,False,True,Not human-screened
R-1107207,1107207,True,False,True,Not human-screened
R-1107272,1107272,True,False,True,Not human-screened
R-1108289,1108289,True,False,True,Not human-screened
R-1108290,1108290,True,False,True,Not human-screened
R-1120297,1120297,False,True,True,Not human-screened
R-1122451,1122451,True,False,True,Not human-screened
R-1124505,1124505,False,True,True,Not human-screened
R-1127201,1127201,True,False,True,Not human-screened
R-1140952,1140952,False,True,True,Not human-screened
R-1142854,1142854,True,False,True,Not human-screened
R-1155507,1155507,False,True,True,Not human-screened
R-1156710,1156710,False,True,True,Not human-screened
R-1168294,1168294,True,False,True,Not human-screened
R-1182489,1182489,False,True,True,Not human-screened
R-1202996,1202996,True,False,True,Not human-screened
R-1212985,1212985,False,True,True,Not human-screened
R-1237088,1237088,True,False,True,Not human-screened
R-1241157,1241157,False,True,True,Not human-screened
R-1274962,1274962,True,False,True,Not human-screened
R-1286863,1286863,True,False,True,Not human-screened
R-1287041,1287041,True,False,True,Not human-screened
R-1287279,1287279,True,False,True,Not human-screened
R-1288673,1288673,True,False,True,Not human-screened
R-1290483,1290483,True,False,True,Not human-screened
R-1291833,1291833,True,False,True,Not human-screened
R-1291863,1291863,True,False,True,Not human-screened
R-1291864,1291864,True,False,True,Not human-screened
R-1292333,1292333,True,False,True,Not human-screened
R-1293140,1293140,False,True,True,Not human-screened
R-1296792,1296792,True,False,True,Not human-screened
R-1299684,1299684,True,False,True,Not human-screened
R-1299689,1299689,True,False,True,Not human-screened
R-1299696,1299696,True,False,True,Not human-screened
R-1301888,1301888,True,False,True,Not human-screened
R-1304717,1304717,True,False,True,Not human-screened
R-1304731,1304731,True,False,True,Not human-screened
R-1306551,1306551,True,False,True,Not human-screened
R-1320973,1320973,False,True,True,Not human-screened
R-1337406,1337406,False,True,True,Not human-screened
R-1345213,1345213,True,False,True,Not human-screened
R-1348471,1348471,True,False,True,Not human-screened
R-1358764,1358764,False,True,True,Not human-screened
R-1374002,1374002,False,True,True,Not human-screened
R-1385906,1385906,True,False,True,Not human-screened
R-1386476,1386476,True,False,True,Not human-screened
R-1390963,1390963,True,False,True,Not human-screened
R-1391995,1391995,True,False,True,Not human-screened
R-1393974,1393974,True,False,True,Not human-screened
R-1397371,1397371,True,False,True,Not human-screened
R-1398445,1398445,True,False,True,Not human-screened
R-1398902,1398902,True,False,True,Not human-screened
R-1398903,1398903,True,False,True,Not human-screened
R-1399654,1399654,True,True,True,Not human-screened
R-1399655,1399655,True,False,True,Not human-screened
R-1400559,1400559,True,False,True,Not human-screened
R-1401047,1401047,False,True,True,Not human-screened
R-1401681,1401681,True,False,True,Not human-screened
R-1401688,1401688,True,False,True,Not human-screened
R-1402732,1402732,True,False,True,Not human-screened
R-1403179,1403179,False,True,True,Not human-screened
R-1404712,1404712,True,True,True,Not human-screened
R-1404741,1404741,True,False,True,Not human-screened
R-1404820,1404820,True,False,True,Not human-screened
R-1405794,1405794,True,False,True,Not human-screened
R-1406420,1406420,True,False,True,Not human-screened
R-1406495,1406495,True,False,True,Not human-screened
R-1406878,1406878,True,False,True,Not human-screened
R-1406881,1406881,True,False,True,Not human-screened
R-1407833,1407833,True,False,True,Not human-screened
R-1408263,1408263,True,False,True,Not human-screened
R-1408264,1408264,True,False,True,Not human-screened
R-1408265,1408265,True,False,True,Not human-screened
R-1408700,1408700,True,False,True,Not human-screened
R-1409483,1409483,True,False,True,Not human-screened
R-1412595,1412595,False,True,True,Not human-screened
R-1414861,1414861,True,False,True,Not human-screened
R-1415080,1415080,True,True,True,Not human-screened
R-1415816,1415816,True,False,True,Not human-screened
R-1419130,1419130,False,True,True,Not human-screened
R-1419371,1419371,True,False,True,Not human-screened
R-1422364,1422364,True,False,True,Not human-screened
R-1427282,1427282,True,False,True,Not human-screened
R-1428386,1428386,False,True,True,Not human-screened
R-1428900,1428900,True,False,True,Not human-screened
R-1428985,1428985,True,False,True,Not human-screened
R-1430743,1430743,True,False,True,Not human-screened
R-1430876,1430876,False,True,True,Not human-screened
R-1430890,1430890,True,True,True,Not human-screened
R-1430975,1430975,True,False,True,Not human-screened
R-1433393,1433393,True,True,True,Not human-screened
R-1433400,1433400,True,False,True,Not human-screened
R-1434939,1434939,True,False,True,Not human-screened
R-1434955,1434955,True,False,True,Not human-screened
R-1434963,1434963,True,False,True,Not human-screened
R-1434964,1434964,True,False,True,Not human-screened
R-1434965,1434965,True,False,True,Not human-screened
R-1434967,1434967,True,False,True,Not human-screened
R-1434968,1434968,True,False,True,Not human-screened
R-1434969,1434969,True,False,True,Not human-screened
R-1435630,1435630,True,False,True,Not human-screened
R-1436155,1436155,True,False,True,Not human-screened
R-1437222,1437222,True,False,True,Not human-screened
R-1441510,1441510,True,False,True,Not human-screened
R-1443241,1443241,True,False,True,Not human-screened
R-1443296,1443296,False,True,True,Not human-screened
R-1447447,1447447,True,False,True,Not human-screened
R-1447449,1447449,True,False,True,Not human-screened
R-1448249,1448249,False,True,True,Not human-screened
