RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
1650968,SBD,0.88 ML PALIPERIDONE PALMITATE 310 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 310 MG/ML,PREFILLED SYRINGE
1650972,SBD,1.32 ML PALIPERIDONE PALMITATE 311 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 311 MG/ML,PREFILLED SYRINGE
1650976,SBD,2.63 ML PALIPERIDONE PALMITATE 311 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 311 MG/ML,PREFILLED SYRINGE
2570419,SBD,3.5 ML PALIPERIDONE PALMITATE 312 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 312 MG/ML,PREFILLED SYRINGE
2570421,SBD,5 ML PALIPERIDONE PALMITATE 312 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 312 MG/ML,PREFILLED SYRINGE
1650974,SBD,1.75 ML PALIPERIDONE PALMITATE 312 MG/ML PREFILLED SYRINGE [INVEGA],INVEGA,PALIPERIDONE PALMITATE 312 MG/ML,PREFILLED SYRINGE
2663966,SBD,PALOVAROTENE 1 MG ORAL CAPSULE [SOHONOS],SOHONOS,PALOVAROTENE 1 MG,ORAL CAPSULE
2663970,SBD,PALOVAROTENE 1.5 MG ORAL CAPSULE [SOHONOS],SOHONOS,PALOVAROTENE 1.5 MG,ORAL CAPSULE
2663974,SBD,PALOVAROTENE 10 MG ORAL CAPSULE [SOHONOS],SOHONOS,PALOVAROTENE 10 MG,ORAL CAPSULE
2663978,SBD,PALOVAROTENE 2.5 MG ORAL CAPSULE [SOHONOS],SOHONOS,PALOVAROTENE 2.5 MG,ORAL CAPSULE
2663982,SBD,PALOVAROTENE 5 MG ORAL CAPSULE [SOHONOS],SOHONOS,PALOVAROTENE 5 MG,ORAL CAPSULE
