Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spnd_Per_Dsg_Unt_Wghtd_2024,Avg_Spnd_Per_Clm_2024,Avg_Spnd_Per_Bene_2024,Outlier_Flag_2024,Chg_Avg_Spnd_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24
Pomalyst,Pomalidomide,1,Overall,1453860766.6,1603901,79081,12067,906.45934783,18384.450962,120482.37064,0,1595079244.8,1664887,82854,12596,958.07293425,19251.686639,126633.79206,0,1743892720.4,1726966,86195,12682,1009.7936311,20231.947566,137509.28248,0,1709288465.2,1569928,78733,12739,1088.7598989,21709.936942,134177.60148,0,2150231814.6,1964117,98648,14325,1094.7503661,21797.013772,150103.44255,0,0.0055021013,0.0483147387
Pomalyst,Pomalidomide,1,Celgene/BMS,1453860766.6,1603901,79081,12067,906.45934783,18384.450962,120482.37064,0,1595079244.8,1664887,82854,12596,958.07293425,19251.686639,126633.79206,0,1743892720.4,1726966,86195,12682,1009.7936311,20231.947566,137509.28248,0,1709288465.2,1569928,78733,12739,1088.7598989,21709.936942,134177.60148,0,2150231814.6,1964117,98648,14325,1094.7503661,21797.013772,150103.44255,0,0.0055021013,0.0483147387
Pombiliti,Cipaglucosidase Alfa-Atga,1,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795873.83,3187,107,13,1818.5986288,54167.04514,445836.44846,0,,
Pombiliti,Cipaglucosidase Alfa-Atga,1,Amicus Therapeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795873.83,3187,107,13,1818.5986288,54167.04514,445836.44846,0,,
Ponvory,Ponesimod,1,Overall,,,,,,,,,568668.14,2016,64,23,281.35257688,8885.4396875,24724.701739,0,4610821.08,15354,438,86,300.10978487,10526.988767,53614.198605,0,8307093.5,25466,711,99,326.24090652,11683.675809,83910.035354,0,6367370.77,20342,528,79,313.15014477,12059.414337,80599.63,0,-0.040126059,0.0363359723
Ponvory,Ponesimod,1,Janssen/Vanda,,,,,,,,,568668.14,2016,64,23,281.35257688,8885.4396875,24724.701739,0,4610821.08,15354,438,86,300.10978487,10526.988767,53614.198605,0,8307093.5,25466,711,99,326.24090652,11683.675809,83910.035354,0,6367370.77,20342,528,79,313.15014477,12059.414337,80599.63,0,-0.040126059,0.0363359723
Portia,Levonorgestrel/Ethin.Estradiol,1,Overall,159223.07,244347,4561,931,0.6516268667,34.90968428,171.02370569,0,97614.53,224076,4009,878,0.4356313483,24.348847593,111.17828018,0,101708.75,219527,3892,778,0.4633086135,26.132772354,130.73104113,0,81947.09,199033,3433,734,0.4117261459,23.870401981,111.64453678,0,58687.07,171279,3169,666,0.3426401952,18.519113285,88.118723724,0,-0.167795879,-0.148450631
Portia,Levonorgestrel/Ethin.Estradiol,1,Teva USA,159223.07,244347,4561,931,0.6516268667,34.90968428,171.02370569,0,97614.53,224076,4009,878,0.4356313483,24.348847593,111.17828018,0,101708.75,219527,3892,778,0.4633086135,26.132772354,130.73104113,0,81947.09,199033,3433,734,0.4117261459,23.870401981,111.64453678,0,58687.07,171279,3169,666,0.3426401952,18.519113285,88.118723724,0,-0.167795879,-0.148450631
Posaconazole*,Posaconazole,14,Overall,75773284.34,1575635,17507,4763,48.086258812,4328.170694,15908.730703,0,77563223.97,2047807.6,23268,6313,37.90671052,3333.4718914,12286.270231,0,75552151.34,2290929.2,25814,6877,33.006226994,2926.7897784,10986.207844,0,79723895.42,2904442,32060,8353,27.999570917,2486.7091522,9544.3428014,0,50710877.56,3945851,43675,11361,13.099644833,1161.0962235,4463.5927788,0,-0.532148372,-0.277546943
Posaconazole*,Posaconazole,1,Westminster Pha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44605.31,2343,27,14,19.037690994,1652.0485185,3186.0935714,1,,
Posaconazole*,Posaconazole,1,Par Pharm.,37123004.29,748305,8288,2675,49.609456425,4479.1269655,13877.758613,0,32579640.44,790141,9091,2940,41.232691937,3583.7246112,11081.510354,0,13339387.94,339328,3767,1520,39.311191355,3541.1170534,8775.9131184,0,4150328.12,168734,1560,738,27.170333413,2660.4667436,5623.7508401,0,2774271.17,228499,1943,878,13.935211703,1427.828703,3159.7621526,0,-0.487116647,-0.271990116
Posaconazole*,Posaconazole,1,Northstar Rx Ll,,,,,,,,,2924294.55,73947,879,432,39.545817275,3326.8424915,6769.2003472,0,7604939.89,198292.6,2343,814,38.352111425,3245.8130132,9342.6779975,0,5336324.11,147605,1733,702,36.152732699,3079.2406867,7601.6012963,0,2127858.25,152545,1714,701,13.949052739,1241.4575554,3035.461127,0,-0.614163254,-0.293441617
Posaconazole*,Posaconazole,1,Mallinck-Specgx,,,,,,,,,,,,,,,,,312381.96,11922,128,88,26.202143936,2440.4840625,3549.795,0,2665363.95,116654,981,222,22.848457404,2716.9866972,12006.143919,1,125168.67,8055,91,54,15.539251397,1375.4798901,2317.9383333,0,-0.319899321,-0.229900871
Posaconazole*,Posaconazole,1,Major Pharmaceu,,,,,,,,,,,,,,,,,109731.81,2802,36,17,39.161959315,3048.1058333,6454.8123529,0,117846.78,3540,47,23,33.290050847,2507.3782979,5123.7730435,0,63595.75,3140,42,27,20.253423567,1514.1845238,2355.3981481,0,-0.391607311,-0.280854087
Posaconazole*,Posaconazole,1,Lupin Pharmaceu,,,,,,,,,11521781.31,310691,3447,1388,37.084374217,3342.5533246,8300.9951801,0,25902043.2,747139.6,8378,2907,34.668277789,3091.6738124,8910.2315789,0,23525362.56,867246,9805,3650,27.126516075,2399.3230556,6445.304811,0,12906896.04,978719,11025,4209,13.18754008,1170.6935184,3066.4994155,0,-0.513850579,-0.291525409
Posaconazole*,Posaconazole,1,Lannett Co. Inc,38650280.05,827330,9219,2757,46.716884496,4192.4590574,14018.962659,0,30537507.67,873028.6,9851,3332,34.97881704,3099.9398711,9164.9182683,0,21224030.9,794836,8906,3067,26.702402634,2383.115978,6920.1274535,0,20384436.15,772475,8883,3250,26.388473608,2294.7693516,6272.1342,0,12030960.97,925580,10647,3891,12.99829401,1129.9860026,3091.9971653,0,-0.507425317,-0.273721612
